Date,USD_Price,EUR_Price
2009-04-30,173.16,133.93
2009-05-31,209.7,151.63
2009-06-30,213.09,155.38
2009-07-31,216.49,155.41
2009-08-31,214.78,153.3
2009-09-30,219.02,152.99
2009-10-31,235.14,163.38
2009-11-30,242.6,165.14
2009-12-31,248.31,177.42
2010-01-31,230.1,169.86
2010-02-28,244.93,183.94
2010-03-31,250.93,190.16
2010-04-30,260.29,200.37
2010-05-31,231.06,192.49
2010-06-30,234.37,196.17
2010-07-31,248.4,195.01
2010-08-31,236.26,190.94
2010-09-30,258.45,194.14
2010-10-31,267.02,198.39
2010-11-30,272.55,212.91
2010-12-31,299.05,230.15
2011-01-31,310.14,233.91
2011-02-28,326.98,243.71
2011-03-31,343.44,248.97
2011-04-30,359.14,247.67
2011-05-31,334.75,239.26
2011-06-30,316.57,223.82
2011-07-31,324.73,231.94
2011-08-31,319.33,226.49
2011-09-30,279.72,210.77
2011-10-31,306.68,222.02
2011-11-30,311.44,239.28
2011-12-31,305.24,241.17
2012-01-31,312.7,243.62
2012-02-29,332.97,252.9
2012-03-31,325.97,250.63
2012-04-30,324.16,250.6
2012-05-31,282.18,233.43
2012-06-30,297.66,244.92
2012-07-31,316.89,264.61
2012-08-31,320.98,262.63
2012-09-30,326.43,258.77
2012-10-31,313.75,247.77
2012-11-30,313.88,247.67
2012-12-31,305.68,236.56
2013-01-31,313.0,236.15
2013-02-28,300.19,233.67
2013-03-31,302.19,241.37
2013-04-30,293.72,229.6
2013-05-31,287.13,225.34
2013-06-30,273.59,214.84
2013-07-31,277.31,214.0
2013-08-31,286.71,221.74
2013-09-30,279.39,211.93
2013-10-31,275.26,205.32
2013-11-30,273.04,205.46
2013-12-31,276.4,204.89
2014-01-31,277.22,209.3
2014-02-28,294.49,219.93
2014-03-31,295.68,220.1
2014-04-30,302.89,224.46
2014-05-31,294.16,221.34
2014-06-30,295.92,222.02
2014-07-31,281.15,214.85
2014-08-31,278.21,216.0
2014-09-30,260.89,210.44
2014-10-31,258.8,210.04
2014-11-30,248.27,203.94
2014-12-31,229.32,193.02
2015-01-31,221.65,200.17
2015-02-28,227.37,207.71
2015-03-31,215.67,203.85
2015-04-30,228.05,210.04
2015-05-31,221.89,207.24
2015-06-30,225.72,205.88
2015-07-31,201.74,188.78
2015-08-31,199.87,182.45
2015-09-30,193.03,175.55
2015-10-31,192.17,178.94
2015-11-30,178.22,172.39
2015-12-31,172.68,161.67
2016-01-31,169.73,158.87
2016-02-29,166.94,156.44
2016-03-31,173.27,156.49
2016-04-30,187.98,169.45
2016-05-31,187.58,172.24
2016-06-30,195.27,179.63
2016-07-31,185.25,171.08
2016-08-31,181.93,166.98
2016-09-30,187.58,171.15
2016-10-31,186.61,173.91
2016-11-30,189.03,181.72
2016-12-31,192.35,186.19
2017-01-31,192.53,184.04
2017-02-28,192.86,186.52
2017-03-31,187.6,179.7
2017-04-30,184.66,173.99
2017-05-31,182.06,166.83
2017-06-30,181.56,162.44
2017-07-31,185.49,161.64
2017-08-31,186.09,160.17
2017-09-30,185.65,161.3
2017-10-31,189.45,166.43
2017-11-30,188.37,162.7
2017-12-31,193.8,166.13
2018-01-31,197.38,162.82
2018-02-28,193.74,162.16
2018-03-31,192.26,159.98
2018-04-30,195.2,164.83
2018-05-31,199.02,174.62
2018-06-30,189.07,167.39
2018-07-31,186.57,163.13
2018-08-31,184.06,161.53
2018-09-30,185.43,163.11
2018-10-31,186.57,168.32
2018-11-30,178.78,160.64
2018-12-31,169.64,151.8
2019-01-31,176.08,156.9
2019-02-28,179.11,161.11
2019-03-31,177.74,162.02
2019-04-30,176.6,161.63
2019-05-31,169.9,156.25
2019-06-30,174.27,156.86
2019-07-31,172.4,158.17
2019-08-31,168.69,156.11
2019-09-30,170.29,159.3
2019-10-31,173.84,159.54
2019-11-30,170.04,158.07
2019-12-31,178.05,162.71
2020-01-31,165.79,153.88
2020-02-29,158.19,147.25
2020-03-31,143.21,132.91
2020-04-30,144.34,135.84
2020-05-31,147.79,136.56
2020-06-30,151.89,138.25
2020-07-31,160.37,138.28
2020-08-31,169.35,145.46
2020-09-30,164.84,143.71
2020-10-31,165.76,145.29
2020-11-30,172.01,147.08
2020-12-31,180.11,149.9
2021-01-31,183.12,154.67
2021-02-28,194.94,164.1
2021-03-31,191.38,167.11
2021-04-30,206.64,174.43
2021-05-31,213.93,179.65
2021-06-30,218.01,187.51
2021-07-31,219.9,189.27
2021-08-31,222.07,192.7
2021-09-30,230.93,203.76
2021-10-31,236.86,207.52
2021-11-30,220.74,200.08
2021-12-31,227.61,205.74
2022-01-31,245.37,225.23
2022-02-28,261.42,239.35
2022-03-31,282.22,258.83
2022-04-30,291.65,284.22
2022-05-31,298.5,283.63
2022-06-30,267.91,262.53
2022-07-31,272.28,273.47
2022-08-31,272.14,277.89
2022-09-30,253.08,263.56
2022-10-31,258.26,265.57
2022-11-30,268.56,266.27
2022-12-31,260.73,250.36
2023-01-31,258.96,244.31
2023-02-28,246.71,238.01
2023-03-31,246.43,231.33
2023-04-30,244.37,226.75
2023-05-31,229.97,219.34
2023-06-30,236.81,223.06
2023-07-31,251.36,233.4
2023-08-31,249.06,233.21
2023-09-30,246.38,238.78
2023-10-31,246.83,238.03
2023-11-30,242.17,225.91
2023-12-31,236.4,218.64
2024-01-31,235.36,222.19
2024-02-29,232.19,219.29
2024-03-31,240.9,228.46
2024-04-30,246.88,235.85
2024-05-31,252.28,238.34
2024-06-30,248.11,237.18
2024-07-31,241.66,228.71
2024-08-31,241.11,222.75
2024-09-30,250.49,229.57
2024-10-31,248.32,234.09
2024-11-30,247.36,239.72
2024-12-31,249.23,245.18
2025-01-31,259.26,255.26
2025-02-28,261.78,257.8
2025-03-31,271.83,257.09
2025-04-30,257.47,231.42
2025-05-31,258.26,232.35
2025-06-30,264.22,230.63
2025-07-31,263.32,235.84
2025-08-31,268.87,235.62
2025-09-30,275.55,240.44
2025-10-31,282.41,249.82
2025-11-30,288.91,254.96
2025-12-31,288.64,251.53
2026-01-31,299.42,264.03
